No.,Player,GP,GS,MIN,AVG,FG,FGA,PCT,3FG,3FGA,PCT,FT,FTA,PCT,OFF,DEF,TOT,AVG,PF,DQ,A,A/G,TO,TO/G,A/TO,BLK,BLK/G,STL,STL/G,PTS,AVG,Team
10,Brody Clarke,20,19,515,25.8,96,195,49.2,11,43,25.6,37,56,66.1,31,94,125,6.3,59,4,21,1.1,57,2.9,0.4,10,0.5,15,0.8,240,12.0,Alberta
03,Colby Jackson,20,20,512,25.6,52,153,34.0,29,105,27.6,28,33,84.8,4,43,47,2.4,36,0,93,4.7,55,2.8,1.7,0,0.0,24,1.2,161,8.1,Alberta
08,Lyndon Annetts,20,20,547,27.4,45,127,35.4,30,101,29.7,24,31,77.4,14,48,62,3.1,24,0,26,1.3,20,1.0,1.3,3,0.2,21,1.1,144,7.2,Alberta
12,Rav Dhaliwal,20,1,292,14.6,31,76,40.8,6,28,21.4,14,17,82.4,19,26,45,2.3,29,0,6,0.3,17,0.9,0.4,6,0.3,4,0.2,82,4.1,Alberta
07,Sheldon Pittman,20,7,306,15.3,25,80,31.3,23,64,35.9,6,7,85.7,7,26,33,1.7,20,0,12,0.6,13,0.7,0.9,2,0.1,5,0.3,79,4.0,Alberta
04,Andriy Halushko,17,2,199,11.7,13,48,27.1,11,38,28.9,6,8,75.0,4,21,25,1.5,15,0,3,0.2,11,0.6,0.3,0,0.0,7,0.4,43,2.5,Alberta
05,Ivan Ikomey,20,2,224,11.2,19,70,27.1,11,46,23.9,0,0,-,12,16,28,1.4,22,0,7,0.4,14,0.7,0.5,0,0.0,9,0.5,49,2.5,Alberta
06,Dwan Williams,12,-,187,15.6,10,30,33.3,3,14,21.4,5,8,62.5,8,25,33,2.8,21,0,12,1.0,13,1.1,0.9,2,0.2,5,0.4,28,2.3,Alberta
14,Brett Roughead,20,5,248,12.4,15,27,55.6,0,1,0.0,15,29,51.7,24,61,85,4.3,39,2,4,0.2,12,0.6,0.3,23,1.2,3,0.2,45,2.3,Alberta
01,Ethan Dixon,16,1,161,10.1,8,27,29.6,2,11,18.2,6,10,60.0,6,17,23,1.4,16,0,13,0.8,16,1.0,0.8,1,0.1,10,0.6,24,1.5,Alberta
02,Jonah Weyessa,6,-,42,7.0,4,16,25.0,1,4,25.0,0,0,-,0,1,1,0.2,5,0,3,0.5,6,1.0,0.5,1,0.2,1,0.2,9,1.5,Alberta
09,Cole Knudsen,1,-,0,.0,0,0,-,0,0,-,0,0,-,0,0,0,0.0,0,-,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Alberta
03,Andre Barber,20,20,539,27.0,95,236,40.3,46,128,35.9,30,45,66.7,9,77,86,4.3,64,2,36,1.8,53,2.7,0.7,1,0.1,22,1.1,266,13.3,Algoma
10,Sean Clendinning,20,20,590,29.5,91,262,34.7,29,77,37.7,53,67,79.1,21,20,41,2.1,22,0,25,1.3,35,1.8,0.7,1,0.1,21,1.1,264,13.2,Algoma
05,Brett Zufelt,20,20,504,25.2,57,149,38.3,0,1,0.0,42,63,66.7,29,65,94,4.7,61,3,17,0.9,31,1.6,0.5,4,0.2,18,0.9,156,7.8,Algoma
08,Adam Benrabah,20,9,353,17.7,38,125,30.4,10,57,17.5,24,40,60.0,21,32,53,2.7,34,0,10,0.5,21,1.1,0.5,6,0.3,20,1.0,110,5.5,Algoma
6,Nathan Riley,20,5,433,21.7,36,90,40.0,1,2,50.0,35,56,62.5,23,62,85,4.3,48,2,9,0.5,31,1.6,0.3,4,0.2,25,1.3,108,5.4,Algoma
4,Jacob Clendinning,19,6,325,17.1,33,124,26.6,15,61,24.6,18,24,75.0,10,32,42,2.2,40,1,27,1.4,36,1.9,0.8,0,0.0,26,1.4,99,5.2,Algoma
13,Reng Gum,17,14,432,25.4,32,85,37.6,3,8,37.5,15,29,51.7,35,88,123,7.2,45,2,9,0.5,21,1.2,0.4,28,1.6,14,0.8,82,4.8,Algoma
22,Jermaine Lyle,20,2,316,15.8,32,94,34.0,14,46,30.4,16,22,72.7,4,29,33,1.7,36,0,11,0.6,20,1.0,0.6,1,0.1,16,0.8,94,4.7,Algoma
09,Cailum White,20,3,252,12.6,24,78,30.8,21,67,31.3,9,11,81.8,10,22,32,1.6,17,0,9,0.5,9,0.5,1.0,3,0.2,6,0.3,78,3.9,Algoma
15,Eric Thompson,14,-,92,6.6,8,30,26.7,0,1,0.0,10,14,71.4,6,13,19,1.4,10,0,1,0.1,7,0.5,0.1,2,0.1,6,0.4,26,1.9,Algoma
11,Kristjan Lamont,12,1,137,11.4,5,21,23.8,0,0,-,7,11,63.6,6,16,22,1.8,22,0,1,0.1,8,0.7,0.1,1,0.1,2,0.2,17,1.4,Algoma
02,Nikola Zorcic,5,-,29,5.8,1,5,20.0,0,1,0.0,4,4,100.0,3,0,3,0.6,2,0,2,0.4,1,0.2,2.0,0,0.0,0,0.0,6,1.2,Algoma
25,Nicholas Palazzi,10,-,45,4.5,1,6,16.7,0,1,0.0,4,4,100.0,5,5,10,1.0,11,0,3,0.3,1,0.1,3.0,1,0.1,0,0.0,6,0.6,Algoma
07,Zach Buchan,1,-,1,1.0,0,0,-,0,0,-,0,0,-,1,0,1,1.0,0,0,0,0.0,0,0.0,-,0,0.0,0,0.0,0,0.0,Algoma
